Time,X,Y,Yaw,Hitch_Angle
87.72,58.27828823373071,91.30395978177184,-3.028859179405915,3.151276634693442
87.76,58.33790737225994,91.31070947221158,-3.028859179405915,3.1512104657167113
87.8,58.39752651078917,91.31745916265133,-3.028859179405915,3.151144748847225
87.84,58.4571456493184,91.32420885309108,-3.028859179405915,3.151079480996193
87.88,58.51676478784763,91.33095854353083,-3.028859179405915,3.151014659095921
87.92,58.576383926376856,91.33770823397057,-3.028859179405915,3.1509502800996683
87.96000000000001,58.636003064906085,91.34445792441032,-3.028859179405915,3.1508863409815033
88.0,58.69562220343531,91.35120761485007,-3.028859179405915,3.150822838736163
88.04,58.75524134196454,91.35795730528982,-3.028859179405915,3.15075977037891
88.08,58.81486048049377,91.36470699572956,-3.028859179405915,3.1506971329453943
88.12,58.874479619023,91.37145668616931,-3.028859179405915,3.150634923491514
88.16,58.93409875755223,91.37820637660906,-3.028859179405915,3.150573139093275
88.2,58.993717896081456,91.3849560670488,-3.028859179405915,3.150511776846657
88.24,59.053337034610685,91.39170575748855,-3.028859179405915,3.1504508338674735
88.28,59.112956173139914,91.3984554479283,-3.028859179405915,3.15039030729124
88.32000000000001,59.17257531166914,91.40520513836805,-3.028859179405915,3.1503301942730366
88.36,59.23219445019837,91.4119548288078,-3.028859179405915,3.150270491987377
88.4,59.2918135887276,91.41870451924754,-3.028859179405915,3.1502111976280736
88.44,59.35143272725683,91.42545420968729,-3.028859179405915,3.150152308408107
88.48,59.41105186578606,91.43220390012704,-3.028859179405915,3.150093821559495
88.52,59.470671004315285,91.43895359056678,-3.028859179405915,3.150035734333163
88.56,59.530290142844514,91.44570328100653,-3.028859179405915,3.149978043998814
88.60000000000001,59.58990928137374,91.45245297144628,-3.028859179405915,3.1499207478448
88.64,59.64952841990297,91.45920266188602,-3.028859179405915,3.149863843177998
88.68,59.7091475584322,91.46595235232577,-3.028859179405915,3.149807327323679
88.72,59.76876669696143,91.47270204276552,-3.028859179405915,3.149751197625385
88.76,59.82838583549066,91.47945173320527,-3.028859179405915,3.1496954514448046
88.8,59.888004974019886,91.48620142364501,-3.028859179405915,3.149640086161648
88.84,59.947624112549114,91.49295111408476,-3.028859179405915,3.1495850991735237
88.88,60.00724325107834,91.49970080452451,-3.028859179405915,3.1495304878958184
88.92,60.06686238960757,91.50645049496426,-3.028859179405915,3.1494762497615727
88.96000000000001,60.1264815281368,91.513200185404,-3.028859179405915,3.149422382221363
89.0,60.18610066666603,91.51994987584375,-3.028859179405915,3.1493688827431803
89.04,60.24571980519526,91.5266995662835,-3.028859179405915,3.1493157488123122
89.08,60.305338943724486,91.53344925672324,-3.028859179405915,3.1492629779312242
89.12,60.364958082253715,91.54019894716299,-3.028859179405915,3.149210567619443
89.16,60.42457722078294,91.54694863760274,-3.028859179405915,3.1491585154134394
89.2,60.48419635931217,91.55369832804249,-3.028859179405915,3.149106818866513
89.24,60.5438154978414,91.56044801848223,-3.028859179405915,3.149055475548677
89.28,60.60343463637063,91.56719770892198,-3.028859179405915,3.149004483046545
89.32000000000001,60.66305377489986,91.57394739936173,-3.028859179405915,3.1489538389632163
89.36,60.722672913429086,91.58069708980148,-3.028859179405915,3.148903540918164
89.4,60.782292051958315,91.58744678024122,-3.028859179405915,3.1488535865471228
89.44,60.841911190487544,91.59419647068097,-3.028859179405915,3.1488039735019795
89.48,60.90153032901677,91.60094616112072,-3.028859179405915,3.1487546994506608
89.52,60.961149467546,91.60769585156046,-3.028859179405915,3.1487057620770247
89.56,61.02076860607523,91.61444554200021,-3.028859179405915,3.1486571590807517
89.60000000000001,61.08038774460446,91.62119523243996,-3.028859179405915,3.1486088881772365
89.64,61.14000688313369,91.6279449228797,-3.028859179405915,3.1485609470974807
89.68,61.199626021662915,91.63469461331945,-3.028859179405915,3.1485133335879865
89.72,61.259245160192144,91.6414443037592,-3.028859179405915,3.148466045410651
89.76,61.31886429872137,91.64819399419895,-3.028859179405915,3.14841908034266
89.8,61.3784834372506,91.6549436846387,-3.028859179405915,3.1483724361763854
89.84,61.43810257577983,91.66169337507844,-3.028859179405915,3.14832611071928
89.88,61.49772171430906,91.66844306551819,-3.028859179405915,3.1482801017937745
89.92,61.55734085283829,91.67519275595794,-3.028859179405915,3.1482344072371764
89.96000000000001,61.616959991367516,91.68194244639768,-3.028859179405915,3.148189024901568
90.0,61.676579129896744,91.68869213683743,-3.028859179405915,3.148143952653704
90.04,61.73619826842597,91.69544182727718,-3.028859179405915,3.148099188374914
90.08,61.7958174069552,91.70219151771693,-3.028859179405915,3.1480547299610007
90.12,61.85543654548443,91.70894120815667,-3.028859179405915,3.148010575322142
90.16,61.91505568401366,91.71569089859642,-3.028859179405915,3.1479667223827934
90.2,61.97467482254289,91.72244058903617,-3.028859179405915,3.1479231690815883
90.24,62.034293961072116,91.72919027947592,-3.028859179405915,3.147879913371244
90.28,62.093913099601345,91.73593996991566,-3.028859179405915,3.147836953218464
90.32000000000001,62.15353223813057,91.74268966035541,-3.028859179405915,3.147794286603842
90.36,62.2131513766598,91.74943935079516,-3.028859179405915,3.147751911521769
90.4,62.27277051518903,91.7561890412349,-3.028859179405915,3.1477098259803364
90.44,62.33238965371826,91.76293873167465,-3.028859179405915,3.147668028001245
90.48,62.39200879224749,91.7696884221144,-3.028859179405915,3.14762651561971
90.52,62.451627930776716,91.77643811255415,-3.028859179405915,3.14758528688437
90.56,62.511247069305945,91.7831878029939,-3.028859179405915,3.1475443398571947
90.60000000000001,62.570866207835174,91.78993749343364,-3.028859179405915,3.1475036726133947
90.64,62.6304853463644,91.79668718387339,-3.028859179405915,3.14746328324133
90.68,62.69010448489363,91.80343687431314,-3.028859179405915,3.1474231698424204
90.72,62.74972362342286,91.81018656475288,-3.028859179405915,3.1473833305310572
90.76,62.80934276195209,91.81693625519263,-3.028859179405915,3.147343763434513
90.8,62.86896190048132,91.82368594563238,-3.028859179405915,3.147304466692856
90.84,62.928581039010545,91.83043563607212,-3.028859179405915,3.14726543845886
90.88,62.988200177539774,91.83718532651187,-3.028859179405915,3.1472266768979194
90.92,63.047819316069,91.84393501695162,-3.028859179405915,3.147188180187963
90.96000000000001,63.10743845459823,91.85068470739137,-3.028859179405915,3.1471499465193675
91.0,63.16705759312746,91.85743439783111,-3.028859179405915,3.1471119740948725
91.04,63.22667673165669,91.86418408827086,-3.028859179405915,3.147074261129497
91.08,63.28629587018592,91.87093377871061,-3.028859179405915,3.1470368058504548
91.12,63.345915008715146,91.87768346915036,-3.028859179405915,3.1469996064970713
91.16,63.405534147244374,91.8844331595901,-3.028859179405915,3.1469626613207007
91.2,63.4651532857736,91.89118285002985,-3.028859179405915,3.1469259685846445
91.24,63.52477242430283,91.8979325404696,-3.028859179405915,3.146889526564069
91.28,63.58439156283206,91.90468223090934,-3.028859179405915,3.1468533335459252
